,sgfFile,PB,PW,turnNumber,nextMove,nextMoveColor,scoreLead,scoreLead,nextScoreGain,nextWinrateGain,move,pv,prior,humanPrior
0,Test/66870384-291-seahorse1-taeseung.sgf,taeseung,seahorse1,67,J14,W,-13.8794944,-14.1317488,-12.72004529,-0.357962240329999,G12,"['G12', 'H12', 'J13', 'F12', 'G11', 'F13', 'F10', 'E12']",0.797399163,0.48350757400000005
1,Test/66870384-291-seahorse1-taeseung.sgf,taeseung,seahorse1,72,E16,B,-4.14337447,-4.08470372,-11.46213873,-0.14019333132,F12,"['F12', 'K11', 'D18', 'C18', 'K4', 'D8', 'C8', 'E9']",0.7936912180000001,0.165532753
2,Test/66870384-291-seahorse1-taeseung.sgf,taeseung,seahorse1,105,O8,W,2.20181861,2.1921487,-5.51191519,-0.181084026,M9,"['M9', 'J7', 'Q8', 'S10', 'N9', 'B3', 'J8', 'H7']",0.9315801260000001,0.297565758
3,Test/66870384-291-seahorse1-taeseung.sgf,taeseung,seahorse1,136,M10,B,1.70506059,1.58337021,-6.38143434,-0.608963420999999,L11,"['L11', 'M12', 'L12', 'P12']",0.11207395,0.19840753100000003
4,Test/66871956-181-seahorse1-ab0983.sgf,ab0983,seahorse1,34,F7,B,-1.70244832,-1.68541095,-9.222287679999999,-0.305208955,G4,"['G4', 'G2', 'H2', 'F2', 'C2', 'D2']",0.978126228,0.497682989
5,Test/66871956-181-seahorse1-ab0983.sgf,ab0983,seahorse1,74,A12,B,9.00541645,8.94861053,-25.78789185,-0.9207480855,F10,"['F10', 'E9', 'B7', 'B8', 'A8', 'G8', 'G9', 'H9', 'H8']",0.45637494300000003,0.10408795600000001
6,Test/66871956-181-seahorse1-ab0983.sgf,ab0983,seahorse1,175,R18,W,-17.0259169,-17.0007849,-17.852677102999998,-0.55269198581,S16,"['S16', 'R18', 'S18', 'Q19', 'S17', 'O3', 'O2']",0.996939659,0.9409603480000001
7,Test/66871956-181-seahorse1-ab0983.sgf,ab0983,seahorse1,178,N13,B,5.58408099,5.64073914,-10.10880302,-0.9200385176,J18,"['J18', 'S18', 'T16', 'S17', 'M12']",0.8662517070000001,0.951567829
8,Test/66873493-064-seahorse1-wjadgj.sgf,wjadgj,seahorse1,46,P11,B,1.93145743,2.11833422,-6.16222869,-0.515970029,Q15,"['Q15', 'P15', 'Q11', 'S18', 'R15', 'R8', 'N18', 'O18', 'O17', 'N16', 'P18']",0.476725787,0.199558601
9,Test/66873493-064-seahorse1-wjadgj.sgf,wjadgj,seahorse1,60,P6,B,-2.63119462,-2.59319416,-8.24063728,-0.23681583359999903,O4,"['O4', 'Q6', 'P5', 'R8']",0.524916351,0.258704007
10,Test/66874400-231-seahorse1-SimonN.sgf,SimonN,seahorse1,123,L9,W,-13.5451024,-14.8834149,-15.042674739999999,-0.48828178400000005,N12,"['N12', 'O13', 'N13', 'N14', 'O15', 'L11', 'S12', 'Q15']",0.46651241200000004,0.403256536
11,Test/66874400-231-seahorse1-SimonN.sgf,SimonN,seahorse1,131,N19,W,-13.3640297,-13.4493413,-24.8098502,-0.8975841446,O15,"['O15', 'Q15', 'K10', 'K11', 'J11', 'J10', 'K9', 'J12', 'H11', 'K12', 'J15', 'J14']",0.9921904210000001,0.894664407
12,Test/66874400-231-seahorse1-SimonN.sgf,SimonN,seahorse1,151,S11,W,3.7440270399999998,2.79530732,-20.68082116,-0.23261040500000002,K6,"['K6', 'J6', 'K7', 'S11', 'S10', 'R11', 'T11', 'S12']",0.511075377,0.12178614700000001
13,Test/66876604-197-seahorse1-八戒兄.sgf,八戒兄,seahorse1,39,B6,W,-10.948317,-11.2493148,-6.278049259999999,-0.1011995203,C12,"['C12', 'C7', 'D8', 'B6', 'D13']",0.6372089980000001,0.5199394820000001
14,Test/66876604-197-seahorse1-八戒兄.sgf,八戒兄,seahorse1,67,R18,W,-1.6955948200000002,-1.70663909,-5.57647612,-0.47216809800000004,S15,"['S15', 'P11', 'L12', 'K12', 'O13']",0.9403626920000001,0.406292886
15,Test/66876604-197-seahorse1-八戒兄.sgf,八戒兄,seahorse1,88,J9,B,1.44296614,1.53416081,-10.92116677,-0.6099225293,E10,"['E10', 'H10', 'K10', 'H12', 'H11', 'G12', 'J13', 'G14']",0.787229359,0.9469326140000001
16,Test/66876604-197-seahorse1-八戒兄.sgf,八戒兄,seahorse1,153,N11,W,-29.2345729,-30.2522072,-33.18398634,-0.70675747509,N6,"['N6', 'M11', 'N11', 'N10', 'O11', 'P11', 'P10', 'O14']",0.5388459560000001,0.48549264700000005
17,Test/66878736-059-NOTINUSE-seahorse1.sgf,seahorse1,NOTINUSE,48,D9,B,2.93076232,2.9636204299999998,-3.97526975,-0.354015837,D8,"['D8', 'C10', 'D9', 'D10', 'E10', 'E11']",0.9072288270000001,0.730947495
18,Test/66878736-059-NOTINUSE-seahorse1.sgf,seahorse1,NOTINUSE,57,B8,W,-2.14666406,-2.20795067,-12.38031676,-0.6806584840000001,E10,"['E10', 'C11', 'B10', 'B8', 'G9', 'L7', 'E11', 'B11']",0.617693782,0.39300927500000005
19,Test/66879294-257-Nilpferd-seahorse1.sgf,seahorse1,Nilpferd,121,K12,W,-4.77036812,-4.7598826800000005,-5.629840239,-0.5824921635,M16,"['M16', 'G15', 'K12', 'J13', 'Q9']",0.9943146110000001,0.23649328900000002
20,Test/66880672-046-Stop the war-seahorse1.sgf,seahorse1,Stop the war,28,C6,B,8.19039228,8.39079776,-3.381693959999999,-0.135206239999999,G7,"['G7', 'C7', 'O2']",0.460680723,0.26080212
21,Test/66882479-227-seahorse1-pipi123456.sgf,pipi123456,seahorse1,169,O8,W,-44.7259166,-46.3108462,-37.14656897,-0.37177200240999997,P8,"['P8', 'R10', 'S10', 'R9', 'Q9', 'Q10', 'S8']",0.465592235,0.2547023
22,Test/66882479-227-seahorse1-pipi123456.sgf,pipi123456,seahorse1,205,H14,W,-2.72581922,-7.58926791,-23.86109432,-0.46321871900000006,P14,"['P14', 'N15', 'Q14']",0.17852610300000002,0.133989364
23,Test/66884094-179-seahorse1-Leptin.sgf,Leptin,seahorse1,42,S17,B,4.7042372100000005,4.7027688,-3.39385464,-0.216143941,C6,"['C6', 'E7', 'D6', 'E6', 'D7', 'K7']",0.917342901,0.11241896500000001
